subj,trial,condition,target,respond,error,trial_duration,fb,fb_true,fb_offset,fb_time,conf
Test_08,43,3,-24.557900000000018,42.2774,-17.719499999999982,25.1,0.0,212.7898,-212.7898,7.516666666666667,1.0
Test_08,44,2,-113.29339999999999,171.664057,-58.37065700000002,48.291666666666664,-24.4429,45.9166,-70.3595,11.858333333333333,0.4760003
Test_08,45,1,223.93208199999998,-254.28200000000004,-30.34991800000006,76.075,-27.33056,275.6019,-302.93246,20.916666666666668,0.1610095
Test_08,46,1,-124.37190000000001,198.69156000000004,-74.31966000000003,50.43333333333333,25.42103,71.72301,-46.30198,15.933333333333334,0.9259945
Test_08,47,2,-174.42141000000004,234.53296999999998,-60.11155999999994,53.108333333333334,21.76918,315.8047,-294.03552,15.266666666666667,0.966994
Test_08,48,1,131.01200999999998,-146.48486,-15.472850000000022,52.93333333333333,19.6932,189.7213,-170.02810000000002,16.675,1.0
Test_08,49,1,-245.7507,279.09700000000004,-33.34630000000004,71.9,-52.47225,6.020686,-58.492936,22.575,0.04400287
Test_08,50,1,-332.6895,391.3805,-58.690999999999974,81.575,-12.74598,221.9547,-234.70068,29.166666666666668,0.3170024
Test_08,51,2,-154.90452000000002,248.23754,-93.33301999999998,50.71666666666667,-15.41991,97.12765,-112.54756,13.808333333333334,0.4500006
Test_08,52,1,0.19209999999998217,-151.64530000000002,-151.45320000000004,93.36666666666666,45.14005,6.224522,38.915528,0.1,0.07500286
Test_08,53,1,-284.7780000000001,342.0625,-57.28449999999992,66.06666666666666,-8.60593,35.50159,-44.10752,23.808333333333334,0.1970095
Test_08,54,1,-67.2219,108.47814000000001,-41.256240000000005,34.425,-14.69333,267.8887,-282.58203,8.258333333333333,0.6709978
Test_08,55,3,240.17193000000003,-296.93096999999995,-56.759039999999914,71.43333333333334,0.0,118.4388,-118.4388,22.958333333333332,0.6079986
Test_08,56,1,-223.23929999999996,314.88180000000006,-91.6425000000001,72.61666666666666,3.475516,246.7923,-243.316784,23.875,0.5119998
Test_08,57,2,-355.53280000000007,424.5118,-68.97899999999993,95.13333333333334,-21.67287,150.6167,-172.28957,29.983333333333334,0.3820015
Test_08,58,1,29.08789999999999,-37.93470000000002,-8.84680000000003,32.375,5.984412,28.57287,-22.588458000000003,7.233333333333333,1.0
Test_08,59,3,-71.5824,128.7593,-57.17689999999999,53.016666666666666,0.0,204.7909,-204.7909,10.283333333333333,0.6369982
Test_08,60,3,-103.1706,177.64183000000003,-74.47123000000003,46.49166666666667,0.0,64.29951,-64.29951,9.825,0.655998
Test_08,61,2,-6.466700000000003,35.469400000000036,-29.002700000000033,30.141666666666666,-5.951068,125.0799,-131.030968,3.45,0.9319944
Test_08,62,1,-91.83350000000002,164.17820000000003,-72.34470000000002,58.38333333333333,19.29229,324.5986,-305.30631,12.025,0.9169946
Test_08,63,2,-304.7034,433.3481999999999,-128.64479999999992,86.09166666666667,-2.443053,206.4613,-208.904353,27.591666666666665,0.6949975
Test_08,64,1,75.30167000000002,-104.59653,-29.294859999999986,36.00833333333333,29.09157,148.2343,-119.14272999999999,9.55,0.3690017
Test_08,65,1,52.13518999999999,-112.87399999999995,-60.738809999999965,36.7,-33.28463,310.5016,-343.78623,7.775,0.5899988
Test_08,66,2,-88.4391,108.62347700000001,-20.184377000000012,32.641666666666666,-15.78126,83.9937,-99.77496000000001,8.908333333333333,0.6909975
Test_08,67,1,315.8122,-377.0983,-61.286099999999976,88.825,26.12722,273.4288,-247.30158000000003,25.466666666666665,0.4130011
Test_08,68,2,-33.54900000000009,69.40259999999995,-35.85359999999986,29.866666666666667,-12.81778,42.41453,-55.23231,4.691666666666666,0.5889989
Test_08,69,3,208.4472,-271.2293000000001,-62.78210000000007,77.05833333333334,0.0,239.3906,-239.3906,19.491666666666667,0.501
Test_08,70,1,294.4829000000001,-352.4753,-57.99239999999992,77.8,10.45682,7.205144,3.2516760000000007,61.96666666666667,0.3060025
