subj,trial,condition,target,fb_true,respond,error,trial_duration,fb_time,fb,conf,fb_offset,viewAmount
Test_02,171,FB,-177.874808,104.2843,223.583062,45.708254,29.59166667,14.09166667,6.239003,0.7809964,-98.045297,0
Test_02,172,FB,31.2693,305.0724,-119.5682,88.2989,23.075,5.108333333,38.62407,0.8299958,-266.44833,0
Test_02,173,FB,-160.46093,105.0039,218.3581,57.89717,41.325,21.6,-11.92331,0.9239945,-116.92721,0
Test_02,174,FB,118.582,312.41,-217.3447,98.7627,21.65,7.691666667,-27.20794,0.7999961,-339.61794,0
Test_02,175,FB,-71.33461,104.9425,164.66819,93.33358,25.6,12.36666667,24.58313,0.5,-80.35937,0
Test_02,176,FB,-114.40476,289.8841,171.41629,57.01153,25.525,10.20833333,0,0.7819964,-289.8841,0
Test_02,177,FB,-127.612,100.5068,232.5484,104.9364,24.6,9.658333333,-41.60649,0.887995,-142.11329,0
Test_02,178,FB,298.5686,302.4615,-399.7007,101.1321,42.91666667,23.55,-4.394057,0.8059961,-306.855557,0
Test_02,179,FB,179.1166,61.33197,-272.53651,93.41991,24.79166667,11.93333333,0,0.9219946,-61.33197,0
Test_02,180,FB,264.4475,157.3897,-413.33675,148.88925,41.31666667,17.425,-1.147697,0.806996,-158.537397,0
Test_02,181,FB,330.0507,242.236,-389.4251,59.3744,43.825,19.14166667,45.5177,0.9509942,-196.7183,0
Test_02,182,FB,-124.6093,66.09826,244.94041,120.33111,24.91666667,8.533333333,4.209956,0.811996,-61.888304,0
Test_02,183,FB,-5.1611,303.8111,126.32313,121.16203,17.925,1.2,43.55831,0.887995,-260.25279,0
Test_02,184,FB,309.74079,143.0224,-459.2991,149.55831,42.79166667,16,62.9255,0.9449943,-80.0969,0
Test_02,185,FB,124.27516,239.4757,-253.1715,128.89634,27.275,9.075,-0.7779223,0.9289945,-240.2536223,0
Test_02,186,FB,-138.99205,331.3424,234.01119,95.01914,41.3,23.1,-23.22868,0.9309945,-354.57108,0
Test_02,187,FB,-241.05777,205.3934,353.7886,112.73083,37.48333333,13.81666667,-24.06418,0.8389956,-229.45758,0
